school_id,school_name
2,Abilene Christian
3,Adelphi
4,Adrian
5,Akron
6,Alabama A&M
7,Alabama St.
8,Alabama
9,UAB
10,Alabama Huntsville
11,Alas. Anchorage
12,Alas. Fairbanks
13,Albany St. (GA)
14,UAlbany
15,Albion
16,Albright
17,Alcorn
18,Alfred
19,Allegheny
20,DeSales
21,Alma
22,American Int'l
23,American
24,Amherst
25,Angelo St.
26,Anna Maria
27,App State
28,Arizona St.
29,Arizona
30,Arkansas St.
31,Arkansas
32,Little Rock
33,Armstrong St.
35,Ashland
36,Assumption
37,Auburn
38,Augsburg
39,Augusta
40,Augustana (IL)
41,Augustana (SD)
42,Aurora
43,Austin Peay
44,Averett
45,Babson
46,Baldwin Wallace
47,Ball St.
48,Charleston So.
49,Barry
50,Bates
51,Baylor
52,Bellarmine
53,Beloit
54,Bemidji St.
55,Benedict
56,Bentley
58,Baruch
59,Bethany (WV)
60,Bethel (MN)
61,Bethune-Cookman
62,Binghamton
64,Blackburn
65,Bloomsburg
66,Boise St.
67,Boston College
68,Boston U.
69,Bowdoin
70,Bowie St.
71,Bowling Green
72,Bradley
73,Brandeis
74,Bridgeport
75,Bridgewater (VA)
76,Bridgewater St.
77,BYU
78,SUNY Brockport
79,Brooklyn
80,Brown
81,Bryant
82,Bryn Mawr
83,Bucknell
84,Buena Vista
85,Buffalo St.
86,Buffalo
87,Butler
88,Cabrini
89,Caltech
90,Cal Poly
91,Cal Poly Pomona
92,Cal St. Dom. Hills
93,CSUSB
94,CSU Bakersfield
95,Chico St.
96,Fresno St.
97,Cal St. Fullerton
98,Cal St. East Bay
99,Long Beach St.
100,Cal State LA
101,CSUN
102,Sacramento St.
103,Stanislaus St.
104,UC Santa Barbara
105,Cal Lutheran
106,California (PA)
107,California
108,UC Davis
109,UC Irvine
110,UCLA
111,UC Riverside
112,UC San Diego
113,UC Santa Cruz
114,Calvin
115,Campbell
116,Canisius
117,Capital
118,Carleton
119,Carnegie Mellon
120,Carroll (WI)
121,Carthage
122,CWRU
123,VTSU Castleton
124,Catholic
125,Centenary (LA)
126,Central (IA)
127,Central Conn. St.
128,UCF
129,Central Mich.
