Team Name,School Name,Team Mascot,Conference,Division,Club Code,Club Code 2,Club Code 3,NFS Team Code,NCAA ID
Abilene Christian Wildcats,Abilene Christian University,Wildcats,Southland Conference,1AA,ACU,ABC,TXAC,TXAC,2
Adams State Grizzlies,Adams State College,Grizzlies,Rocky Mountain Athletic Conference,2,ADA,ASC,COAD,COAD,929
Adrian Bulldogs,Adrian College,Bulldogs,Michigan Intercollegiate Athletic Association,3,ADR,ADC,MIAD,MIAD,4
Air Force Academy Falcons,United States Air Force Academy,Falcons,Mountain West Conference,1A,AIR,AF,COAF,COAF,721
Akron Zips,University of Akron,Zips,Mid-American Conference,1A,AKR,ZIP,OHAK,OHAK,5
Alabama A&M Bulldogs,Alabama A&M University,Bulldogs,Southwestern Athletic Conference,1AA,ALA,AAM,ALAM,ALAM,6
Alabama Crimson Tide,University of Alabama,Crimson Tide,Southeastern Conference,1A,AL,ALA,UA,ALUN,8
Alabama State Hornets,Alabama State University,Hornets,Southwestern Athletic Conference,1AA,ALH,ALA,ALST,ALST,7
Alabama-Birmingham Blazers,University of Alabama-Birmingham,Blazers,Conference USA,1A,UAB,ALA,ALBI,ALBI,9
Albany Great Danes,University at Albany,Great Danes,Colonial Athletic Association,1AA,ALB,ABY,NYAB,NYAB,14
Albany State Rams,Albany State University,Rams,Southern Intercollegiate Athletic Conference,2,ASR,ABY,GAAL,GAAL,13
Albion Britons,Albion College,Britons,Michigan Intercollegiate Athletic Association,3,ABB,ABC,MIAB,MIAB,15
Albright Lions,Albright College,Lions,Middle Atlantic Conference,3,ABL,ABC,PAAB,PAAB,16
Alcorn State Braves,Alcorn State University,Braves,Southwestern Athletic Conference,1AA,ALC,ASU,MSAL,MSAL,17
Alderson Broaddus Battlers,Alderson Broaddus University,Battlers,Independent,2,AB,ALD,WVAB,WVAB,934
Alfred Saxons,Alfred University,Saxons,Empire 8 Conference,3,ALF,ALU,NYAF,NYAF,18
Alfred State Pioneers,Alfred State SUNY College of Technology,Pioneers,Independent,3,ASP,AS,NYAL,NYAL,30170
Allegheny Gators,Allegheny College,Gators,North Coast Athletic Conference,3,ALE,ALG,PAAG,PAAG,19
Alma Scots,Alma College,Scots,Michigan Intercollegiate Athletic Association,3,ALM,ALA,MIAM,MIAM,21
Alvernia Golden Wolves,Alvernia University,Golden Wolves,Presidents Athletic Conference,3,ALV,ALU,PAAV,PAAV,938
American International Yellow Jackets,American International College,Yellow Jackets,Northeast-10 Conference,2,AI,AIU,MAAI,MAAI,22
Amherst Jeffs,Amherst College,Jeffs,New England Small College Athletic Conference,3,AMH,AC,MAAM,MAAM,24
Anderson Ravens,Anderson University,Ravens,Heartland Collegiate Athletic Conference,3,AND,AU,INAN,INAN,939
Angelo State Rams,Angelo State University,Rams,Lone Star Conference,2,ANG,ASU,TXAN,TXAN,25
Anna Maria AmCats,Anna Maria College,AmCats,Eastern Collegiate Football Conference,3,AM,AMC,MAAN,MAAN,26
Appalachian State Mountaineers,Appalachian State University,Mountaineers,Sun Belt Conference,1A,APP,ASU,NCAP,NCAP,27
Arizona Christian Firestorm,Arizona Christian University,Firestorm,Independent,NAIA,AC,ACU,AZCH,AZCH,504994
Arizona State Sun Devils,Arizona State University,Sun Devils,Pacific Twelve Conference,1A,ASU,ARZ,AZST,AZST,28
Arizona Wildcats,University of Arizona,Wildcats,Pacific Twelve Conference,1A,AZ,ARZ,AZUN,AZUN,29
Arkansas Razorbacks,University of Arkansas,Razorbacks,Southeastern Conference,1A,AR,ARK,ARUN,ARUN,31
Arkansas State Red Wolves,Arkansas State University,Red Wolves,Sun Belt Conference,1A,ARW,ARK,ARST,ARST,30
Arkansas Tech Wonder Boys,Arkansas Tech University,Wonder Boys,Great American Conference,2,ATU,ARK,ARTC,ARTC,947
Arkansas-Monticello Boll Weevils,University of Arkansas-Monticello,Boll Weevils,Great American Conference,2,ARK,ARM,ARMO,ARMO,8411
Arkansas-Pine Bluff Golden Lions,University of Arkansas-Pine Bluff,Golden Lions,Southwestern Athletic Conference,1AA,UAP,ARK,ARPB,ARPB,2678
Army Black Knights,United States Military Academy,Black Knights,Independent,1A,ARM,ARY,AWP,NYWP,725
Ashland Eagles,Ashland University,Eagles,Great Lakes Intercollegiate Athletic Conference,2,ASH,AU,OHAS,OHAS,35
Assumption Greyhounds,Assumption College,Greyhounds,Northeast-10 Conference,2,ASS,AC,MAAS,MAAS,36
Auburn Tigers,Auburn University,Tigers,Southeastern Conference,1A,AUB,AU,ALAU,ALAU,37
Augsburg Auggies,Augsburg College,Auggies,Minnesota Intercollegiate Athletic Conference,3,AUA,AC,MNAV,MNAV,38
Augustana College Vikings,Augustana College (S.D.),Vikings,Northern Sun Intercollegiate Conference,2,AUG,AC,SDAU,SDAU,41
Augustana Vikings,Augustana College (Ill.),Vikings,College Conference of Illinois and Wisconsin,3,ACV,AC,ILAU,ILAU,40
Aurora Spartans,Aurora University,Spartans,Northern Athletics Conference,3,AUR,ARA,ILAR,ILAR,42
Austin Kangaroos,Austin College,Kangaroos,Southern Collegiate Athletic Conference,3,AUS,AC,TXAU,TXAU,953
Austin Peay Governors,Austin Peay State University,Governors,Ohio Valley Conference,1AA,APY,AUS,TNAP,TNAP,43
Ave Maria Gyrenes,Ave Maria University,Gyrenes,The Sun Conference,NAIA,AVE,AM,FLAV,FLAV,506346
Averett Cougars,Averett University,Cougars,USA South Athletic Conference,3,AVE,AVR,VAAV,VAAV,44
Azusa Pacific Cougars,Azusa Pacific University,Cougars,Great Northwest Athletic Conference,2,AP,APU,CAAZ,CAAZ,30146
Bacone Warriors,Bacone College,Warriors,Central States Football League,NAIA,BAC,BC,OKBC,OKBC,506174
Baker Wildcats,Baker University,Wildcats,Heart of America Athletic Conference,NAIA,BAK,BU,KSBA,KSBA,506059
Baldwin-Wallace Yellow Jackets,Baldwin-Wallace College,Yellow Jackets,Ohio Athletic Conference,3,BW,BAL,OHBW,OHBW,46
Ball State Cardinals,Ball State University,Cardinals,Mid-American Conference,1A,BAL,BSU,INBS,INBS,47
Bates Bobcats,Bates College,Bobcats,New England Small College Athletic Conference,3,BAT,BC,MEBA,MEBA,50
Baylor Bears,Baylor University,Bears,Big Twelve Conference,1A,BAY,BU,TXBA,TXBA,51
Becker Hawks,Becker College,Hawks,Eastern Collegiate Football Conference,3,BEC,BC,MABK,MABK,26107
Belhaven Blazers,Belhaven University,Blazers,Mid-South Conference,NAIA,BEL,BU,MSBH,MSBH,30197
Beloit Buccaneers,Beloit College,Buccaneers,Midwest Conference,3,BEL,BC,WIBE,WIBE,53
Bemidji State Beavers,Bemidji State University,Beavers,Northern Sun Intercollegiate Conference,2,BSU,BEM,MNBM,MNBM,54
Benedict Tigers,Benedict College,Tigers,Southern Intercollegiate Athletic Conference,2,BEN,BC,SCBC,SCBC,55
Benedictine Eagles,Benedictine University,Eagles,Northern Athletics Conference,3,BUE,BU,ILBE,ILBE,296
Benedictine Ravens,Benedictine College,Ravens,Heart of America Athletic Conference,NAIA,BEN,BC,KSBN,KSBN,506015
Bentley Falcons,Bentley College,Falcons,Northeast-10 Conference,2,BNT,BTY,MABE,MABE,56
